kll|genki|state|jlpt|type|writing|reading|english
||hidden|n1|other|悪戯|いたずら|tease, prank, trick, practical joke, mischief
||hidden|n1|other|頂|いただき|(top of) head, summit, spire
||hidden|n1|other|戴きます|いただきます|expression of gratitude before meals
||hidden|n1|other|至って|いたって|very much, exceedingly, extremely
||hidden|n1|other|痛む|いたむ|to hurt, to feel a pain, to be injured
||hidden|n1|other|痛める|いためる|to hurt, to injure, to cause pain, to worry, to bother, to afflict, to be grieved over
||hidden|n1|other|炒める|いためる|to stir-fry
||hidden|n1|other|労る|いたわる|to pity, to sympathize with, to console, to care for, to be kind to
||hidden|n1|other|市|いち|market, fair
||hidden|n1|other|位地|いち|place, situation, position, location
||hidden|n1|other|一々|いちいち|one by one, separately
||hidden|n1|other|一概に|いちがいに|unconditionally, as a rule
||hidden|n1|other|一見|いちげん|unfamiliar, never before met
||hidden|n1|other|一言|いちげん|single word
||hidden|n1|other|一日|いちじつ|(1) one day, (2) first of month
||hidden|n1|other|一定|いちじょう|fixed, settled, definite, uniform, regularized, defined, standardized, certain, prescribed
||hidden|n1|other|著しい|いちじるしい|remarkable, considerable
||hidden|n1|other|一同|いちどう|all present, all concerned, all of us
||hidden|n1|other|一人|いちにん|one person
||hidden|n1|other|一部|いちぶ|1. one copy e.g. of a document, 2. a part, partly, some
||hidden|n1|other|一部分|いちぶぶん|a part
||hidden|n1|other|一別|いちべつ|parting
||hidden|n1|other|一面|いちめん|one side, one phase, front page, the other hand, the whole surface
||hidden|n1|other|一目|いちもく|a glance, a look, a glimpse
||hidden|n1|other|一様|いちよう|uniformity, evenness, similarity, equality, impartiality
||hidden|n1|other|一律|いちりつ|evenness, uniformity, monotony, equality
||hidden|n1|other|一連|いちれん|a series, a chain, a ream (of paper)
||hidden|n1|other|一括|いっかつ|all together, batch, one lump, one bundle, summing up
||hidden|n1|other|一気|いっき|drink!(said repeatedly as a party cheer)
||hidden|n1|other|一挙に|いっきょに|at a stroke, with a single swoop
||hidden|n1|other|一切|いっさい|all, everything, without exception, the whole, entirely, absolutely
||hidden|n1|other|一心|いっしん|one mind, wholeheartedness, the whole heart
||hidden|n1|other|いっそ|いっそ|rather, sooner, might as well
||hidden|n1|other|一帯|いったい|a region, a zone, the whole place
||hidden|n1|other|一敗|いっぱい|one defeat
||hidden|n1|other|一変|いっぺん|complete change, about-face
||hidden|n1|other|何時|いつ|when, how soon
||hidden|n1|other|何時か|いつか|sometime, someday, one day, some time or other, the other day, in due course, in time
||hidden|n1|other|何時でも|いつでも|(at) any time, always, at all times, never (neg), whenever
||hidden|n1|other|何時の間にか|いつのまにか|before one knows, unnoticed, unawares
||hidden|n1|other|何時までも|いつまでも|forever, for good, eternally, as long as one likes, indefinitely
||hidden|n1|other|何時も|いつも|always, usually, every time, never (with neg. verb)
||hidden|n1|other|意図|いと|intention, aim, design
||hidden|n1|other|営む|いとなむ|to carry on (e.g. in ceremony), to run a business
||hidden|n1|other|暇|いとま|free time, leisure, leave, spare time, farewell
||hidden|n1|other|異動|いどう|a change
||hidden|n1|other|挑む|いどむ|to challenge, to contend for, to make love to
||hidden|n1|other|稲光|いなびかり|(flash of) lightning
||hidden|n1|other|古|いにしえ|antiquity, ancient times
||hidden|n1|other|祈り|いのり|prayer, supplication
||hidden|n1|other|鼾|いびき|snoring
||hidden|n1|other|今更|いまさら|now, at this late hour
||hidden|n1|other|未だ|いまだ|as yet, hitherto, not yet (neg)
||hidden|n1|other|移民|いみん|emigration, immigration, emigrant, immigrant
||hidden|n1|other|厭々|いやいや|unwillingly, grudgingly, shaking head in refusal (to children)
||hidden|n1|other|卑しい|いやしい|greedy, vulgar, shabby, humble, base, mean, vile
||hidden|n1|other|いやに|いやに|awfully, terribly
||hidden|n1|other|厭やらしい|いやらしい|detestable, disagreeable
||hidden|n1|other|愈々|いよいよ|more and more, all the more, increasingly, at last, beyond doubt
||hidden|n1|other|意欲|いよく|will, desire, ambition
||hidden|n1|other|苛々|いらいら|getting nervous, irritation
||hidden|n1|other|入口|いりくち|entrance, gate, approach, mouth
||hidden|n1|other|衣料|いりょう|clothing
||hidden|n1|other|威力|いりょく|power, might, authority, influence
||hidden|n1|other|入る|いる|to get in, to go in, to come in, to flow into, to set, to set in
||hidden|n1|other|衣類|いるい|clothes, clothing, garments
||hidden|n1|other|色々|いろいろ|various
||hidden|n1|other|異論|いろん|different opinion, objection
||hidden|n1|other|所謂|いわゆる|the so-called, so to speak
||hidden|n1|other|印|いん|seal, stamp, mark, print
||hidden|n1|other|員|いん|member
||hidden|n1|other|印鑑|いんかん|stamp, seal
||hidden|n1|other|陰気|いんき|gloom, melancholy
||hidden|n1|other|隠居|いんきょ|retirement, retired person
||hidden|n1|other|上下|うえした|high and low, up and down, unloading and loading, praising and blaming
||hidden|n1|other|浮かぶ|うかぶ|to float, to rise to surface, to come to mind
||hidden|n1|other|受かる|うかる|to pass (examination)
||hidden|n1|other|含嗽|うがい|gargle, rinse mouth
||hidden|n1|other|受け入れ|うけいれ|receiving, acceptance
||hidden|n1|other|受け入れる|うけいれる|to accept, to receive
||hidden|n1|other|受け継ぐ|うけつぐ|to inherit, to succeed, to take over
||hidden|n1|other|受け付ける|うけつける|to be accepted, to receive (an application)
||hidden|n1|other|受け止める|うけとめる|to catch, to stop the blow, to react to, to take
||hidden|n1|other|受け取り|うけとり|receipt
||hidden|n1|other|受身|うけみ|passive, passive voice
||hidden|n1|other|動き|うごき|movement, activity, trend, development, change
||hidden|n1|other|潮|うしお|tide
||hidden|n1|other|氏|うじ|family name
||hidden|n1|other|渦|うず|swirl
||hidden|n1|other|埋まる|うずまる|to be buried, to be surrounded, to overflow, to be filled
||hidden|n1|other|嘘つき|うそつき|liar (sometimes said with not much seriousness), fibber
||hidden|n1|other|打ち合わせ|うちあわせ|business meeting, previous arrangement, appointment
||hidden|n1|other|打ち合わせる|うちあわせる|to knock together, to arrange
||hidden|n1|other|打ち切る|うちきる|to stop, to abort, to discontinue, to close
||hidden|n1|other|打ち消し|うちけし|negation, denial, negative
||hidden|n1|other|打ち込む|うちこむ|to drive in (e.g. nail stake), to devote oneself to, to shoot into, to smash, to throw into, to cast int
||hidden|n1|other|団扇|うちわ|fan
||hidden|n1|other|内訳|うちわけ|the items, breakdown, classification
||hidden|n1|other|訴え|うったえ|lawsuit, complaint
||hidden|n1|other|鬱陶しい|うっとうしい|gloomy, depressing
||hidden|n1|other|写し|うつし|copy, duplicate, facsimile, transcript
||hidden|n1|other|空ろ|うつろ|blank, cavity, hollow, empty (space)
||hidden|n1|other|器|うつわ|bowl, vessel, container
||hidden|n1|other|雨天|うてん|rainy weather
||hidden|n1|other|腕前|うでまえ|ability, skill, facility
||hidden|n1|other|饂飩|うどん|noodles (Japanese)
||hidden|n1|other|促す|うながす|to urge, to press, to suggest, to demand, to stimulate, to quicken, to incite, to invite (attention to)
||hidden|n1|other|唸る|うなる|to groan, to moan, to roar, to howl, to growl, to hum, to buzz, to sough
||hidden|n1|other|自惚れ|うぬぼれ|pretension, conceit, hubris
||hidden|n1|other|甘い|うまい|delicious
||hidden|n1|other|生まれつき|うまれつき|by nature, by birth, native
||hidden|n1|other|海路|うみじ|sea route
||hidden|n1|other|産む|うむ|to give birth, to deliver, to produce
||hidden|n1|other|埋め込む|うめこむ|to bury
||hidden|n1|other|梅干|うめぼし|dried plum
||hidden|n1|other|末|うら|top end, tip
||hidden|n1|other|裏返し|うらがえし|inside out, upside down
||hidden|n1|other|売り出し|うりだし|(bargain) sale
||hidden|n1|other|売り出す|うりだす|to put on sale, to market, to become popular
||hidden|n1|other|潤う|うるおう|to be moist, to be damp, to get wet, to profit by, to be watered, to receive benefits, to favor, to charm, t
||hidden|n1|other|五月蝿い|うるさい|noisy, loud, fussy
||hidden|n1|other|売れ行き|うれゆき|sales
||hidden|n1|other|浮気|うわき|flighty, fickle, wanton, unfaithful
||hidden|n1|other|上手|うわて|1. upper part, upper stream, left side (of a stage), 2. skillful (only in comparisons), dexterity (on
||hidden|n1|other|上回る|うわまわる|to exceed
||hidden|n1|other|植わる|うわる|to be planted
||hidden|n1|other|運営|うんえい|management, administration, operation
||hidden|n1|other|うんざり|うんざり|tedious, boring, being fed up with
||hidden|n1|other|運送|うんそう|shipping, marine transportation
||hidden|n1|other|運賃|うんちん|freight rates, shipping expenses, fare
||hidden|n1|other|云々|うんぬん|and so on, and so forth, comment
||hidden|n1|other|運搬|うんぱん|transport, carriage
||hidden|n1|other|運命|うんめい|fate
||hidden|n1|other|運輸|うんゆ|transportation
||hidden|n1|other|運用|うんよう|making use of, application, investment, practical use
||hidden|n1|other|会|え|understanding
||hidden|n1|other|重|え|-fold, -ply
||hidden|n1|other|えい|えい|ray (fish)
||hidden|n1|other|映写|えいしゃ|projection
||hidden|n1|other|英字|えいじ|English letter (character)
||hidden|n1|other|衛生|えいせい|health, hygiene, sanitation, medical
||hidden|n1|other|映像|えいぞう|reflection, image
||hidden|n1|other|英雄|えいゆう|hero, great man
||hidden|n1|other|液|えき|liquid, fluid
||hidden|n1|other|役|えき|war, campaign, battle
||hidden|n1|other|閲覧|えつらん|inspection, reading
||hidden|n1|other|獲物|えもの|game, spoils, trophy
||hidden|n1|other|襟|えり|neck, collar, lapel, neckband
||hidden|n1|other|縁|えん|chance, fate, destiny, relation, bonds, connection, karma
||hidden|n1|other|塩|えん|salt
||hidden|n1|other|艶|えん|charming, fascinating, voluptuous
||hidden|n1|other|園|えん|garden (esp. man-made)
||hidden|n1|other|円滑|えんかつ|harmony, smoothness
||hidden|n1|other|縁側|えんがわ|veranda, porch, balcony, open corridor
||hidden|n1|other|沿岸|えんがん|coast, shore
||hidden|n1|other|婉曲|えんきょく|euphemistic, circumlocution, roundabout, indirect, insinuating
||hidden|n1|other|演習|えんしゅう|practice, exercises, manoeuvers
||hidden|n1|other|演出|えんしゅつ|production (e.g. play), direction
||hidden|n1|other|演じる|えんじる|to perform (a play), to play (a part), to act (a part), to commit (a blunder)
||hidden|n1|other|演ずる|えんずる|to perform, to play
||hidden|n1|other|沿線|えんせん|along railway line
||hidden|n1|other|縁談|えんだん|marriage proposal, engagement
||hidden|n1|other|遠方|えんぽう|long way, distant place
||hidden|n1|other|円満|えんまん|perfection, harmony, peace, smoothness, completeness, satisfaction, integrity
||hidden|n1|other|尾|お|tail, ridge
||hidden|n1|other|於|お|at, in, on
||hidden|n1|other|甥|おい|nephew
||hidden|n1|other|追い込む|おいこむ|to herd, to corner, to drive
||hidden|n1|other|美味しい|おいしい|delicious, tasty
||hidden|n1|other|追い出す|おいだす|to expel, to drive out
||hidden|n1|other|於いて|おいて|at, in, on
||hidden|n1|other|お出でになる|おいでになる|to be
||hidden|n1|other|老いる|おいる|to age, to grow old
||hidden|n1|other|負う|おう|to bear, to owe
||hidden|n1|other|応急|おうきゅう|emergency
||hidden|n1|other|黄金|おうごん|gold
||hidden|n1|other|黄色|おうしょく|yellow
||hidden|n1|other|応募|おうぼ|subscription, application
||hidden|n1|other|おおい|おおい|hey!
||hidden|n1|other|大方|おおかた|perhaps, almost all, majority
||hidden|n1|other|大柄|おおがら|large build, large pattern
||hidden|n1|other|大げさ|おおげさ|grandiose, exaggerated
||hidden|n1|other|大事|おおごと|important, valuable, serious matter
||hidden|n1|other|大ざっぱ|おおざっぱ|rough (as in not precise), broad, sketchy
||hidden|n1|other|大筋|おおすじ|outline, summary
||hidden|n1|other|大空|おおぞら|heaven, firmament, the sky
||hidden|n1|other|大幅|おおはば|full width, large scale, drastic
||hidden|n1|other|大水|おおみず|flood
||hidden|n1|other|公|おおやけ|official, public, formal, open, governmental
||hidden|n1|other|お蔭|おかげ|(your) backing, assistance
||hidden|n1|other|お蔭様で|おかげさまで|Thanks to god, thanks to you
||hidden|n1|other|可笑しい|おかしい|strange, funny, amusing, ridiculous
||hidden|n1|other|犯す|おかす|to commit, to perpetrate, to violate, to rape
||hidden|n1|other|侵す|おかす|to invade, to raid, to trespass, to violate, to intrude on
||hidden|n1|other|お菜|おかず|side dish, accompaniment for rice dishes
||hidden|n1|other|臆病|おくびょう|cowardice, timidity
||hidden|n1|other|遅らす|おくらす|to retard, to delay
||hidden|n1|other|遅れ|おくれ|delay, lag
||hidden|n1|other|起こす|おこす|to raise, to cause, to wake someone
||hidden|n1|other|行い|おこない|deed, conduct, behavior, action, asceticism
||hidden|n1|other|厳か|おごそか|austere, majestic, dignified, stately, awful, impressive
||hidden|n1|other|傲る|おごる|to be proud
||hidden|n1|other|長|おさ|chief, head
||hidden|n1|other|押さえる|おさえる|to stop, to restrain, to seize, to repress, to suppress, to press down
||hidden|n1|other|お先に|おさきに|before, ahead, previously
||hidden|n1|other|収まる|おさまる|to be obtained, to end, to settle into, to fit into, to be settled, to be paid, to be delivered
||hidden|n1|other|納まる|おさまる|to be obtained, to end, to settle into, to fit into, to be settled, to be paid, to be delivered
||hidden|n1|other|治まる|おさまる|to be at peace, to clamp down, to lessen (storm terror anger)
||hidden|n1|other|お産|おさん|(giving) birth
||hidden|n1|other|教え|おしえ|teachings, precept, lesson, doctrine
||hidden|n1|other|押し込む|おしこむ|to push into, to crowd into
||hidden|n1|other|惜しむ|おしむ|to be frugal, to value, to regret
||hidden|n1|other|お喋り|おしゃべり|chattering, talk, idle talk, chat, chitchat, gossip, chatty, talkative, chatterbox, blabbermouth
||hidden|n1|other|お洒落|おしゃれ|smartly dressed, someone smartly dressed, fashion-conscious
||hidden|n1|other|押し寄せる|おしよせる|to push aside, to advance on
||hidden|n1|other|お祖父さん|おじいさん|grandfather, male senior-citizen
||hidden|n1|other|お邪魔します|おじゃまします|Excuse me for disturbing (interrupting) you
||hidden|n1|other|雄|おす|male (animal)
||hidden|n1|other|お世辞|おせじ|flattery, compliment
||hidden|n1|other|襲う|おそう|to attack
||hidden|n1|other|遅くとも|おそくとも|at the latest
||hidden|n1|other|恐らく|おそらく|perhaps
||hidden|n1|other|恐れ|おそれ|fear, horror
||hidden|n1|other|恐れ入る|おそれいる|to be filled with awe, to feel small, to be amazed, to be surprised, to be disconcerted, to be sorry, to b
||hidden|n1|other|お大事に|おだいじに|Take care of yourself
||hidden|n1|other|乙|おつ|1. strange, quaint, stylish, chic, spicy, queer, witty, tasty, romantic, 2. 2nd in rank, second sign of the
||hidden|n1|other|お使い|おつかい|errand
||hidden|n1|other|お手上げ|おてあげ|all over, given in, given up hope, bring to knees
||hidden|n1|other|御手洗い|おてあらい|toilet, restroom, lavatory, bathroom (US)
||hidden|n1|other|弟|おと|younger brother
||hidden|n1|other|落とす|おとす|to drop, to lose, to let fall
||hidden|n1|other|訪れる|おとずれる|to visit
||hidden|n1|other|大人しい|おとなしい|obedient, docile, quiet
||hidden|n1|other|少女|おとめ|daughter, young lady, virgin, maiden, little girl
||hidden|n1|other|お供|おとも|attendant, companion
||hidden|n1|other|衰える|おとろえる|to become weak, to decline, to wear, to abate, to decay, to wither, to waste away
||hidden|n1|other|おどおど|おどおど|coweringly, hesitantly
||hidden|n1|other|脅かす|おどかす|to threaten, to coerce
||hidden|n1|other|脅す|おどす|to threaten, to menace
||hidden|n1|other|驚き|おどろき|surprise, astonishment, wonder
||hidden|n1|other|同い年|おないどし|of the same age
||hidden|n1|other|女子|おなご|woman, girl
||hidden|n1|other|お願いします|おねがいします|please
||hidden|n1|other|各|おのおの|each, every, either, respectively, severally
||hidden|n1|other|自ずから|おのずから|naturally, as a matter of course
||hidden|n1|other|お早う|おはよう|Good morning
||hidden|n1|other|お祖母さん|おばあさん|grandmother, female senior-citizen
||hidden|n1|other|怯える|おびえる|to become frightened, to have a nightmare
||hidden|n1|other|夥しい|おびただしい|abundantly, innumerably
||hidden|n1|other|帯びる|おびる|to wear, to carry, to be entrusted, to have, to take on, to have a trace of, to be tinged with
||hidden|n1|other|覚え|おぼえ|memory, sense, experience
||hidden|n1|other|御負け|おまけ|1. a discount, a prize, 2. something additional, bonus, an extra, 3. an exaggeration
||hidden|n1|other|お巡りさん|おまわりさん|policeman (friendly term)
||hidden|n1|other|お宮|おみや|Shinto shrine
||hidden|n1|other|お襁褓|おむつ|diaper, nappy
||hidden|n1|other|お目出度う|おめでとう|(ateji) (int) (uk) Congratulations!, an auspicious occasion!
||hidden|n1|other|面|おも|face
||hidden|n1|other|思い付き|おもいつき|plan, idea, suggestion
||hidden|n1|other|面白い|おもしろい|interesting, amusing
||hidden|n1|other|玩具|おもちゃ|toy
||hidden|n1|other|重なる|おもなる|main, principal, important
||hidden|n1|other|趣|おもむき|meaning, tenor, gist, effect, appearance, taste, grace, charm, refinement
||hidden|n1|other|赴く|おもむく|to go, to proceed, to repair to, to become
||hidden|n1|other|重役|おもやく|heavy responsibilities, director
||hidden|n1|other|重んじる|おもんじる|to respect, to honor, to esteem, to prize
||hidden|n1|other|重んずる|おもんずる|to honor, to respect, to esteem, to prize
||hidden|n1|other|お休み|おやすみ|holiday, absence, rest, Good night
||hidden|n1|other|お八|おやつ|1. (uk) between meal snack, afternoon refreshment, afternoon tea, 2. mid-day snack
||hidden|n1|other|凡そ|およそ|about, roughly, as a rule, approximately
||hidden|n1|other|及び|および|and, as well as
||hidden|n1|other|及ぶ|およぶ|to reach, to come up to, to amount to, to befall, to happen to, to extend, to match, to equal
||hidden|n1|other|織|おり|weave, weaving, woven item
||hidden|n1|other|檻|おり|cage, pen, jail cell
||hidden|n1|other|折り返す|おりかえす|to turn up, to fold back
||hidden|n1|other|織物|おりもの|textile, fabric
||hidden|n1|other|織る|おる|to weave
||hidden|n1|other|俺|おれ|I (ego) (boastful first-person pronoun)
||hidden|n1|other|愚か|おろか|foolish, stupid
||hidden|n1|other|温和|おんわ|gentle, mild, moderate
||hidden|n1|other|仮|か|tentative, provisional
||hidden|n1|other|科|か|department, section
||hidden|n1|other|個|か|article counter
||hidden|n1|other|下位|かい|low rank, subordinate, lower order (e.g. byte)
||hidden|n1|other|階|かい|-floor (counter), stories
||hidden|n1|other|改悪|かいあく|deterioration, changing for the worse
||hidden|n1|other|海運|かいうん|maritime, marine transportation
||hidden|n1|other|改革|かいかく|reform, reformation, innovation
||hidden|n1|other|貝殻|かいがら|shell
||hidden|n1|other|階級|かいきゅう|class, rank, grade
||hidden|n1|other|海峡|かいきょう|channel
||hidden|n1|other|会見|かいけん|interview, audience
||hidden|n1|other|介護|かいご|nursing
||hidden|n1|other|開催|かいさい|holding a meeting, open an exhibition
