genki,state,jlpt,type,writing,reading,english,swedish
,,n4,noun,冷房,れいぼう,air conditioning,luftkonditionering
1,,n4,noun,歴史,れきし,history,historia
,,n4,noun,連絡,れんらく,contact,kontakt
,,n4,verb,沸かす,わかす,to boil;to heat,koka;värma upp
,,n4,verb,別れる,わかれる,to separate,separera
,,n4,verb,沸く,わく,to boil; to grow hot;to get excited,koka;bli varm;bli uppspelt
,,n4,noun,訳,わけ,meaning;reason,mening;anledning
,,n4,noun,忘れ物,わすれもの,lost article,borttappad sak
16,,n4,verb,笑う,わらう,to laugh;to smile|skratta,le
,,n4,noun,割合,わりあい,rate;ratio;percentage,förhållande;procentandel
,,n4,verb,割れる,われる,to break,gå sönder
,,n4,noun,アクセサリー,アクセサリー,accessory,tillbehör
,,n4,noun,アジア,アジア,Asia,Asien
,,n4,noun,アナウンサー,アナウンサー,announcer,hallåa
,,n4,noun,アフリカ,アフリカ,Africa,Afrika
1,,n4,noun,アメリカ,アメリカ,America,Amerika
,,n4,noun,アルコール,アルコール,alcohol,alkohol
,,n4,noun,アルバイト,アルバイト,part-time job,extraknäck
,,n4,noun,エスカレーター,エスカレーター,escalator,hiss
,,n4,noun,オートバイ,オートバイ,motorcycle,mc
,,n4,noun,カーテン,カーテン,curtain,gardin;ridå
,,n4,noun,ガス,ガス,gas,gas
,,n4,noun,ガソリン,ガソリン,petrol,bensin
,,n4,noun,ガソリンスタンド,ガソリンスタンド,petrol station,bensinstation
,,n4,noun,ガラス,ガラス,a glass pane,glaspanel
,,n4,noun,ケーキ,ケーキ,cake,tårta
,,n4,noun,消しゴム,けしゴム,eraser; rubber,suddgummi
,,n4,noun,コンサート,コンサート,concert,koncert
1,,n4,noun,コンピューター,コンピューター,computer,dator
,,n4,noun,サラダ,サラダ,salad,sallad
,,n4,noun,サンダル,サンダル,sandal,sandal
,,n4,noun,サンドイッチ,サンドイッチ,sandwich,smörgås
,,n4,noun,ジャム,ジャム,jam,sylt
,hidden,n4,other,スーツ,スーツ,suit
,hidden,n4,other,スーツケース,スーツケース,suitcase
,hidden,n4,other,スクリーン,スクリーン,screen
,hidden,n4,other,ステーキ,ステーキ,steak
,hidden,n4,other,ステレオ,ステレオ,stereo
,hidden,n4,other,ソフト,ソフト,soft
,hidden,n4,other,タイプ,タイプ,type;style
,hidden,n4,verb,チェックする,チェックする,to check
,hidden,n4,other,テキスト,テキスト,text;text book
,hidden,n4,other,テニス,テニス,tennis
,hidden,n4,other,パート,パート,part time
,hidden,n4,other,パソコン,パソコン,personal computer
,hidden,n4,other,ハンドバッグ,ハンドバッグ,handbag　
,hidden,n4,other,ピアノ,ピアノ,piano
,hidden,n4,other,ビル,ビル,building or bill
,hidden,n4,other,ファックス,ファックス,fax
,hidden,n4,other,プレゼント,プレゼント,present
,hidden,n4,other,ベル,ベル,bell
,hidden,n4,other,レジ,レジ,register
13,,n4,noun,レポート,レポート,report,rapport
,,n4,noun,ワープロ,ワープロ,word processor,ordbehandlare
